ID	OriginalText
f8b57e7855a2b8e8	世界等级-佛爷寨-酒肉和尚（弓）\n巡逻定制动作：有
0c29b08af8819e6e	隐月山-绣金楼-火把和刀-弱A
f5fa7b16dd6b4be6	寻蕈记-时一墨-中毒
3d7b0b3f708365ed	那这封信就是……
bf90af8d503af9f9	大宋官兵普通-不带兵器-氛围用
761b39cee2ac6fa8	醉花阴-樊楼三楼氛围-佘博-武林录后
d57c486f7457064b	每使用一次#H武学技#E，可使自身获得一层#H【影】#E，#H【影】#E叠加至8层可触发天雷使自身获得#H【天雷开悟·影】#E，接下来10秒内#H霸体并免伤50%#E，且#H特殊技#E耐力消耗降低80%并额外造成20%伤害。
c700d3e20382ff80	贺刀寨-绿林-草贼单刀-巡逻5
265a2a76ef7af67c	樊楼-武林录-氛围填充1-舞女
05eebe969ac1d0bc	灾后墓地合十站立-全
2e8db22d826730c6	本人楼梦月，肤白靓丽，楚楚动人。夫本江南富商，却意外失去……（被撕毁的痕迹）\n特借回开封探亲，寻找高大健硕，人品端方的君子一位，圆小女子一个做母亲的梦。\n若有愿者，还请联系汴河……（字迹潦草的批注：别信，是九流门。）
b11b0a00493c20aa	江湖留名
ae51bb0a526c3243	醉花阴即将举办以“飞天霓裳”为主题的群英会。据说此次盛会规模超前，不仅众多花信风，甚至连樊楼与云华楼的楼主都将亲自登台献艺。消息一出，各路亲贵、豪杰纷至沓来，有意共襄盛举。
f10f0be951b06c8c	……是真的！$T(3110)你别不信！我最近，每天夜里都能听到……
58957fa1cabfea18	武林修为：%s
8b45d97ba263478a	鬼茶楼-喝酒江湖人6
f65144374ee2db6f	闪避耐力消耗降低#Y20%#E，闪避期间受到伤害降低#Y20%#E。
fcf6e10a411d1452	<蓄力技：战八方>释放最后戳刺一击时命中气竭单位时，会额外造成0.8秒的[定身]效果。
36ae5df14033e108	我有一剑，可渡陆川！为贺众游侠齐聚燕云江湖，十六巷特开启一期浮景行舟活动。唯此天地奇观，可载千秋侠骨，可渡天下苍生。#Y活动时间为2025年1月9日20点-21点#E
411febe4c7a868ff	魏仁浦手札·一
07fea618b745c9e5	诶……那我还是先看看信吧，或许能知道姐姐为何离开……
2cc9a5aea47d4e4b	换了新朝如何，毁了龙兴寺又如何？我们寺中人，誓永守此地！
1c6d20cadfc8e788	界碑-大相国寺
de3497c1086b1daa	武庙-下电梯第一拐角-偃月刀-偷袭
