Оригинал	Перевод
Velvet Shade Guest	Гость бархатной тени
Song Jiu	Сунь Цзю
Xiaozhi	Сяоцзы
Cen Sheng	Чэнь Шэн
Xuan Lian	Сюань Лянь
Wandering Tales	Активности
Douzi	Дуцзы
Sun Buqi	Сун Буци
Ni Laoshan	Ни Лаошань
Pan Pinxuan	Пан Пинхуань
Peng Qing	Пэн Цин
Wang Dashen	Ван Дашэнь
Pitch Pot Banquet	Торжественный банкет Тоуху
Cloudburst Healing	Облачная вспышка исцеления
Scroll of Flame	Свиток пламени
Professor Backtrack	Профессор Возврат
Xiaoyao	Сяояо
Song Dynasty	Династия Сунь
Shi Xiaoshui	Ши Сяошуй
Prince Ziwu's Ding	Принц Цзыу Дин
Chu Shuiyang	Чу Шуйянь
Meow Meow	Мяу-Мяу
Soulrend Forest-Cloud Steps	Ступени лесного облака Разрыва Душ
Perception Forest Quest	Восприятие Лесного Квеста
Zheng E	Чжэн И
Jia Youyou	Цзя Юю
Windsong	Песнь Ветра
Meng Yi	Мэн И
Hall of Seasons	Зал Сезонов
Bellstrike - Umbra	Удар Колокола - Мгла
Song Jiu	Сунь Цзю
Yan Chuchu	Ян Чучу
Sun San	Сун Сан
Yin Tiantian	Инь Тяньтянь
Liu Baiyu	Лю Байю
Ghost Revelry Hall Swordsman	Мечник Призрачного Зала Веселья
Xiaoba	Сяоба
Wang Dayan	Ван Даян
Sun Sisi	Сунь Сиси
Shadowed Edge	Теневой край
Heavenquaker Spear	Копьё Сотрясателя Небес
Soaring Spin Парящее вращение
Sixteen Lanes Windtail	Шестнадцать Переулков Ветрохвоста
Sandstorm Tavern	Таверна Песчаной Бури
Xuan Lian	Сюань Лянь
Soaring Spin	Парящее вращение
Ruby	Руби
Touhu	Тоуху
Harvestfall Village	Деревня Сбора Урожая
Jianghu	Цзянху
Murong Yuan	Мужун Юань
Qinghe	Цинхэ
Jianlong Temple	Храм Цзяньлун
Plainfield	Равнины
"Master of Grain"	Повелитель Зерна
Stonesplit Attack	Атака "Сечение Камня"
Kaifeng Prefecture	Префектура Кайфэн
Mercyheart Town	Город Милосердного Сердца
Leifeng Pagoda	Пагода Лейфенг
Bladebound Thread	Узы Клинка
Vendetta Mark	Метка Мести
Rodent Hunt	Крысиная Охота
